WL,WU,wc,L90_500,M60_350,H0_200
695,696,695.5,1.251E+14,5.397E+14,6.181E+14
696,697,696.5,1.272E+14,5.428E+14,6.214E+14
697,698,697.5,1.278E+14,5.392E+14,6.169E+14
698,699,698.5,1.285E+14,5.367E+14,6.137E+14
699,700,699.5,1.321E+14,5.457E+14,6.236E+14
700,701,700.5,1.299E+14,5.313E+14,6.070E+14
701,702,701.5,1.309E+14,5.301E+14,6.052E+14
702,703,702.5,1.333E+14,5.349E+14,6.105E+14
703,704,703.5,1.349E+14,5.364E+14,6.120E+14
704,705,704.5,1.371E+14,5.403E+14,6.162E+14
705,706,705.5,1.383E+14,5.405E+14,6.163E+14
706,707,706.5,1.388E+14,5.378E+14,6.129E+14
707,708,707.5,1.398E+14,5.374E+14,6.122E+14
708,709,708.5,1.397E+14,5.329E+14,6.070E+14
709,710,709.5,1.405E+14,5.319E+14,6.056E+14
710,711,710.5,1.433E+14,5.383E+14,6.127E+14
711,712,711.5,1.425E+14,5.313E+14,6.045E+14
712,713,712.5,1.430E+14,5.293E+14,6.021E+14
713,714,713.5,1.441E+14,5.295E+14,6.022E+14
714,715,714.5,1.456E+14,5.315E+14,6.043E+14
715,716,715.5,1.454E+14,5.273E+14,5.994E+14
716,717,716.5,1.452E+14,5.226E+14,5.939E+14
717,718,717.5,1.497E+14,5.347E+14,6.074E+14
718,719,718.5,1.465E+14,5.186E+14,5.888E+14
719,720,719.5,1.489E+14,5.221E+14,5.926E+14
720,721,720.5,1.497E+14,5.202E+14,5.902E+14
721,722,721.5,1.534E+14,5.283E+14,5.991E+14
722,723,722.5,1.524E+14,5.201E+14,5.896E+14
723,724,723.5,1.560E+14,5.283E+14,5.986E+14
724,725,724.5,1.569E+14,5.273E+14,5.973E+14
725,726,725.5,1.575E+14,5.253E+14,5.949E+14
726,727,726.5,1.582E+14,5.238E+14,5.930E+14
727,728,727.5,1.605E+14,5.272E+14,5.966E+14
728,729,728.5,1.591E+14,5.184E+14,5.864E+14
729,730,729.5,1.572E+14,5.084E+14,5.749E+14
730,731,730.5,1.630E+14,5.232E+14,5.914E+14
731,732,731.5,1.631E+14,5.200E+14,5.877E+14
732,733,732.5,1.634E+14,5.175E+14,5.847E+14
733,734,733.5,1.664E+14,5.234E+14,5.912E+14
734,735,734.5,1.681E+14,5.256E+14,5.936E+14
735,736,735.5,1.659E+14,5.158E+14,5.824E+14
736,737,736.5,1.679E+14,5.191E+14,5.860E+14
737,738,737.5,1.695E+14,5.211E+14,5.881E+14
738,739,738.5,1.675E+14,5.121E+14,5.779E+14
739,740,739.5,1.680E+14,5.112E+14,5.768E+14
740,741,740.5,1.700E+14,5.144E+14,5.804E+14
741,742,741.5,1.664E+14,5.013E+14,5.654E+14
742,743,742.5,1.701E+14,5.101E+14,5.753E+14
743,744,743.5,1.746E+14,5.214E+14,5.880E+14
744,745,744.5,1.715E+14,5.102E+14,5.753E+14
745,746,745.5,1.766E+14,5.234E+14,5.901E+14
746,747,746.5,1.754E+14,5.176E+14,5.836E+14
747,748,747.5,1.774E+14,5.213E+14,5.876E+14
748,749,748.5,1.787E+14,5.222E+14,5.885E+14
749,750,749.5,1.762E+14,5.116E+14,5.764E+14
